date;errorcode;nb
07082021;23;917
07082021;51;228
07082021;53;84
07082021;10;71
07082021;5;50
07082021;57;24
07082021;48;6
07082021;4;5
07082021;35;5
07082021;40;2
08082021;0;2333692
08082021;24;49372
08082021;8;5926
08082021;17;4907
08082021;15;4571
08082021;2;1047
08082021;23;837
08082021;1;489
08082021;51;204
08082021;53;79
08082021;10;40
08082021;5;24
08082021;57;14
08082021;4;3
08082021;3;3
08082021;40;2
09082021;0;2913961
09082021;40;47282
09082021;24;42411
09082021;8;5953
09082021;17;4589
09082021;48;4061
09082021;15;3930
09082021;2;2257
09082021;1;1895
09082021;23;884
09082021;51;733
09082021;41;339
09082021;10;189
09082021;53;82
09082021;216;71
09082021;5;55
09082021;57;22
09082021;4;6
09082021;65;3
09082021;3;2
09082021;254;1
10082021;0;4090301
10082021;24;98883
10082021;10;12589
10082021;8;11259
10082021;15;8248
10082021;17;7192
10082021;2;2612
10082021;23;1267
10082021;40;1201
10082021;1;1078
10082021;51;434
10082021;53;108
10082021;5;65
10082021;57;35
10082021;48;9
10082021;4;5
10082021;35;3
10082021;216;3
10082021;3;1
11082021;0;3194903
11082021;40;109867
11082021;24;57640
11082021;8;6388
11082021;17;5774
11082021;15;5692
11082021;2;3673
11082021;1;1773
11082021;23;954
11082021;10;721
11082021;51;227
11082021;5;82
11082021;53;71
11082021;48;42
11082021;4;35
11082021;57;21
11082021;35;5
11082021;254;1
12082021;0;3054997
12082021;24;144147
12082021;10;26147
12082021;8;7313
12082021;17;5930
12082021;15;4421
12082021;1;2528
12082021;2;1620
12082021;23;1016
12082021;51;220
12082021;5;141
12082021;53;69
12082021;57;29
12082021;4;10
12082021;40;2
12082021;35;1
13082021;0;3515093
13082021;24;48457
13082021;10;32423
13082021;17;6590
13082021;8;6409
13082021;15;5057
13082021;1;4258
13082021;2;2483
13082021;23;950
13082021;51;213
13082021;5;83
13082021;53;78
13082021;57;19
13082021;4;10
13082021;40;6
13082021;3;2
13082021;67;1
14082021;0;2958068
14082021;24;158749
14082021;10;26729
14082021;8;7588
14082021;17;7519
14082021;15;5474
14082021;1;3679
14082021;2;1663
14082021;23;1101
14082021;51;213
14082021;53;111
14082021;5;87
14082021;4;21
14082021;57;16
14082021;40;11
14082021;35;4
14082021;67;1
14082021;48;1
15082021;0;2586757
15082021;24;125855
15082021;10;16988
15082021;8;6873
15082021;17;5795
15082021;15;4957
15082021;1;3033
15082021;2;1515
15082021;23;976
15082021;51;219
15082021;53;79
15082021;57;30
15082021;5;28
15082021;4;16
15082021;75;3
15082021;3;1
15082021;16;1
16082021;0;3578755
16082021;24;127294
16082021;10;26901
16082021;8;7240
16082021;17;6747
16082021;15;5198
16082021;1;4163
16082021;2;4002
16082021;23;1096
16082021;51;315
16082021;5;83
16082021;53;67
16082021;57;22
16082021;4;8
16082021;40;5
16082021;35;3
16082021;48;2
16082021;3;1
17082021;0;3349184
17082021;24;227297
17082021;10;28484
17082021;8;8778
17082021;17;7746
17082021;15;5465
17082021;1;3639
17082021;5;2484
17082021;2;2471
17082021;23;911
17082021;51;240
17082021;53;128
17082021;4;96
17082021;57;23
17082021;22;4
17082021;3;3
17082021;48;2
17082021;35;2
17082021;40;1
18082021;0;3812355
18082021;24;194290
18082021;10;44166
18082021;1;20833
18082021;8;7557
18082021;17;7209
18082021;15;5236
18082021;2;3198
18082021;23;1035
18082021;51;246
18082021;5;147
18082021;53;85
18082021;57;25
18082021;4;24
18082021;40;9
18082021;35;7
18082021;48;6
18082021;11;4
18082021;67;2
18082021;3;2
18082021;22;2
19082021;0;3396890
19082021;24;198675
19082021;10;29473
19082021;8;8218
19082021;17;7243
19082021;15;5331
19082021;1;3359
19082021;2;1954
19082021;23;1071
19082021;51;236
19082021;53;109
19082021;5;94
19082021;57;23
19082021;67;20
19082021;4;9
19082021;3;4
19082021;75;1
19082021;48;1
19082021;35;1
20082021;0;3551867
20082021;24;190631
20082021;10;28595
20082021;8;7071
20082021;17;6711
20082021;1;6349
20082021;15;5004
20082021;2;2347
20082021;23;997
20082021;51;233
20082021;5;110
20082021;53;106
20082021;67;48
20082021;57;28
20082021;4;16
20082021;48;4
20082021;56;2
20082021;35;2
20082021;40;1
20082021;254;1
21082021;0;2961530
21082021;24;144010
21082021;10;28964
21082021;8;7241
21082021;17;6303
21082021;15;5075
21082021;1;3552
21082021;2;1778
21082021;23;952
21082021;51;213
21082021;53;99
21082021;5;82
21082021;67;52
21082021;4;14
21082021;57;9
21082021;35;6
21082021;40;5
21082021;48;1
21082021;3;1
21082021;254;1
22082021;0;2624140
22082021;24;151765
22082021;10;15015
22082021;8;6539
22082021;17;5704
22082021;15;4799
22082021;1;3057
22082021;2;1781
22082021;23;822
22082021;51;234
22082021;53;84
22082021;5;39
22082021;67;23
22082021;57;23
22082021;4;6
22082021;254;4
22082021;3;2
23082021;0;3780841
23082021;24;117076
23082021;10;31512
23082021;8;6675
23082021;17;6620
23082021;15;4978
23082021;2;3611
23082021;1;3450
23082021;23;1019
23082021;51;211
23082021;53;91
23082021;5;80
23082021;57;23
23082021;4;14
23082021;40;7
23082021;48;4
23082021;3;2
23082021;67;1
23082021;254;1
24082021;0;3867571
24082021;24;242974
24082021;10;28358
24082021;8;8811
24082021;17;7123
24082021;15;5566
24082021;1;4548
24082021;2;3832
24082021;23;984
24082021;5;523
24082021;51;234
24082021;53;113
24082021;4;77
24082021;57;22
24082021;48;6
24082021;67;1
24082021;40;1
24082021;254;1
25082021;0;3335405
25082021;24;210010
25082021;10;26215
25082021;8;8539
25082021;17;6911
25082021;15;5761
25082021;1;4482
25082021;2;2004
25082021;23;915
25082021;51;257
25082021;5;210
25082021;4;151
25082021;53;98
25082021;67;14
25082021;57;13
25082021;40;6
25082021;35;3
25082021;48;2
25082021;3;2
26082021;0;3364421
26082021;24;138715
26082021;10;28356
26082021;8;6645
26082021;17;6451
26082021;15;5230
26082021;1;4094
26082021;2;1845
26082021;23;978
26082021;40;310
26082021;51;222
26082021;5;191
26082021;4;189
26082021;53;89
26082021;67;39
26082021;57;26
26082021;56;22
26082021;48;4
26082021;75;2
26082021;41;2
26082021;3;2
26082021;35;1
26082021;254;1
27082021;0;3643518
27082021;24;177576
27082021;10;29473
27082021;17;6892
27082021;8;6800
27082021;1;5104
27082021;15;5081
27082021;2;2490
27082021;23;911
27082021;5;337
27082021;51;208
27082021;4;184
27082021;53;88
27082021;67;44
27082021;57;10
27082021;7;2
27082021;35;2
27082021;254;2
27082021;3;1
28082021;0;3262959
28082021;24;203951
28082021;10;28514
28082021;8;7333
28082021;17;6228
28082021;15;5100
28082021;1;3963
28082021;2;1897
28082021;23;854
28082021;51;211
28082021;53;96
28082021;5;93
28082021;4;67
28082021;67;47
28082021;57;21
28082021;40;6
28082021;35;6
28082021;48;2
28082021;3;2
29082021;0;2839866
29082021;24;180710
29082021;10;17556
29082021;8;6999
29082021;17;5854
29082021;15;5086
29082021;1;3465
29082021;2;1709
29082021;23;896
29082021;40;782
29082021;51;199
29082021;53;83
29082021;67;53
29082021;5;49
29082021;4;45
29082021;57;24
29082021;254;2
29082021;52;1
30082021;0;3701720
30082021;24;150343
30082021;10;32690
30082021;8;6832
30082021;17;6704
30082021;15;4981
30082021;1;4694
30082021;2;2222
30082021;23;987
30082021;5;511
30082021;51;198
30082021;4;193
30082021;53;94
30082021;67;34
30082021;57;18
30082021;40;16
30082021;35;4
30082021;48;2
30082021;254;1
30082021;16;1
31082021;0;3716601
31082021;24;177420
31082021;10;31687
31082021;8;7216
31082021;17;6773
31082021;15;5203
31082021;1;5185
31082021;2;2550
31082021;23;918
31082021;5;535
31082021;51;218
31082021;4;122
31082021;53;107
31082021;67;33
31082021;57;21
31082021;40;5
31082021;3;3
31082021;254;3
31082021;218;3
31082021;48;1
31082021;16;1
01092021;0;3521099
01092021;24;199768
01092021;10;31726
01092021;8;7610
01092021;17;7107
01092021;15;5504
01092021;1;4995
01092021;2;2214
01092021;23;1017
01092021;5;258
01092021;51;230
01092021;7;187
01092021;53;111
01092021;4;74
01092021;67;46
01092021;57;23
01092021;40;5
01092021;75;4
01092021;48;1
01092021;35;1
01092021;3;1
01092021;254;1
01092021;218;1
02092021;0;4861723
02092021;24;206404
02092021;10;33519
02092021;8;7758
02092021;17;6993
02092021;2;6667
02092021;15;5763
02092021;1;5093
02092021;5;4569
02092021;23;1071
02092021;40;1033
02092021;4;321
02092021;51;232
02092021;53;70
02092021;67;52
02092021;57;23
02092021;48;4
02092021;3;3
02092021;254;2
02092021;35;1
03092021;0;4345731
03092021;24;328816
03092021;10;26396
03092021;8;11137
03092021;17;8798
03092021;15;5849
03092021;1;5011
03092021;2;3486
03092021;23;1042
03092021;40;609
03092021;5;289
03092021;216;253
03092021;51;252
03092021;53;154
03092021;4;80
03092021;48;73
03092021;67;40
03092021;57;27
03092021;11;8
03092021;3;2
03092021;254;2
04092021;0;3391459
04092021;24;272545
04092021;10;31663
04092021;8;9089
04092021;17;8537
04092021;15;6070
04092021;1;4063
04092021;2;2217
04092021;23;908
04092021;51;223
04092021;53;110
04092021;5;80
04092021;67;62
04092021;57;25
04092021;4;21
04092021;216;10
04092021;35;5
04092021;40;2
04092021;254;2
04092021;41;1
04092021;3;1
05092021;0;2809166
05092021;24;176194
05092021;10;16312
05092021;8;6886
05092021;17;6116
05092021;15;5053
05092021;1;3503
05092021;2;1448
05092021;23;843
05092021;51;206
05092021;53;81
05092021;5;42
05092021;67;37
05092021;4;19
05092021;57;17
05092021;40;10
05092021;48;2
05092021;216;2
05092021;3;1
06092021;0;3857459
06092021;24;158507
06092021;10;35697
06092021;8;6994
06092021;17;6609
06092021;1;6350
06092021;15;5063
06092021;2;3014
06092021;23;903
06092021;5;482
06092021;51;212
06092021;53;96
06092021;4;93
06092021;67;39
06092021;57;14
06092021;40;8
06092021;35;3
06092021;3;3
06092021;16;1
07092021;0;3630925
07092021;24;204728
07092021;10;29836
07092021;8;7950
07092021;17;6726
07092021;1;5581
07092021;15;5542
07092021;2;3445
07092021;7;1402
07092021;23;896
07092021;5;531
07092021;51;240
07092021;4;106
07092021;53;97
07092021;57;42
07092021;67;27
07092021;40;6
07092021;48;3
07092021;35;3
07092021;3;2
08092021;0;4489498
08092021;24;313743
08092021;10;26716
08092021;8;13011
08092021;2;7064
08092021;17;7002
08092021;1;5899
08092021;15;5568
08092021;23;1230
08092021;7;491
08092021;5;301
08092021;51;229
08092021;4;204
08092021;53;125
08092021;67;47
08092021;57;29
08092021;48;5
08092021;35;5
08092021;3;4
08092021;254;2
08092021;40;1
09092021;0;3959745
09092021;24;428833
09092021;10;26576
09092021;8;16856
09092021;17;8065
09092021;1;7037
09092021;15;5968
09092021;2;4625
09092021;7;1682
09092021;23;1112
09092021;5;901
09092021;51;281
09092021;4;147
09092021;53;104
09092021;67;52
09092021;57;30
09092021;40;29
09092021;3;5
09092021;254;3
09092021;35;2
09092021;48;1
09092021;16;1
10092021;0;4769772
10092021;24;261780
10092021;1;30409
10092021;10;27938
10092021;5;10874
10092021;8;7987
10092021;17;7515
10092021;15;5577
10092021;2;4626
10092021;4;1447
10092021;40;1391
10092021;23;1003
10092021;51;225
10092021;53;59
10092021;67;44
10092021;7;34
10092021;57;23
10092021;48;7
10092021;3;4
10092021;254;1
10092021;21;1
11092021;0;3386059
11092021;24;272581
11092021;10;31088
11092021;8;9167
11092021;17;8275
11092021;15;6121
11092021;1;4804
11092021;2;2833
11092021;23;938
11092021;51;209
11092021;53;99
11092021;5;86
11092021;67;53
11092021;4;31
11092021;57;28
11092021;40;19
11092021;48;15
11092021;35;4
11092021;254;2
11092021;56;1
12092021;0;2881136
12092021;24;247704
12092021;10;15063
12092021;8;7754
12092021;17;7190
12092021;15;5693
12092021;1;4068
12092021;2;2541
12092021;23;913
12092021;51;203
12092021;56;181
12092021;5;107
12092021;53;72
12092021;48;67
12092021;67;48
12092021;4;45
12092021;57;32
12092021;11;24
12092021;41;12
12092021;40;12
12092021;7;3
12092021;35;1
12092021;3;1
12092021;16;1
13092021;0;3738098
13092021;24;164424
13092021;10;27439
13092021;1;13960
13092021;8;7312
13092021;17;7067
13092021;15;5278
13092021;2;3107
13092021;23;845
13092021;5;503
13092021;51;170
13092021;4;109
13092021;53;68
13092021;67;47
13092021;57;27
13092021;40;8
13092021;7;2
13092021;48;1
13092021;3;1
13092021;254;1
13092021;16;1
14092021;0;3623299
14092021;24;207447
14092021;10;31926
14092021;17;8069
14092021;8;7999
14092021;1;7379
14092021;15;5881
14092021;2;3196
14092021;23;829
14092021;5;545
14092021;51;229
14092021;53;133
14092021;4;79
14092021;57;28
14092021;67;23
14092021;40;15
14092021;75;10
14092021;48;4
14092021;35;3
14092021;3;1
14092021;254;1
15092021;0;3782716
15092021;24;244060
15092021;10;29754
15092021;8;7895
15092021;17;7257
15092021;1;6168
15092021;15;5539
15092021;2;3810
15092021;23;936
15092021;5;254
15092021;51;221
15092021;4;73
15092021;53;71
15092021;67;43
15092021;57;12
15092021;40;11
15092021;35;11
15092021;48;3
15092021;3;3
15092021;7;2
15092021;254;2
15092021;16;1
16092021;0;3617992
16092021;24;307953
16092021;10;28961
16092021;8;8492
16092021;17;7514
16092021;15;5794
16092021;1;5288
16092021;2;3360
16092021;23;1019
16092021;51;224
16092021;5;219
16092021;53;95
16092021;4;75
16092021;67;51
16092021;57;24
16092021;40;6
16092021;48;3
16092021;35;3
16092021;3;2
17092021;0;16390340
17092021;40;416978
17092021;24;43057
17092021;10;32602
17092021;2;16853
17092021;1;14945
17092021;254;10449
17092021;8;9496
17092021;17;5338
17092021;15;3066
17092021;75;2573
17092021;23;919
17092021;5;441
17092021;51;242
17092021;67;229
17092021;4;134
17092021;53;93
17092021;7;48
17092021;62;25
17092021;57;23
17092021;48;8
17092021;52;5
17092021;65;4
17092021;3;4
17092021;255;1
17092021;156;1
17092021;100;1
18092021;0;14785109
18092021;24;527893
18092021;10;35641
